@relation dataset_c1_b

@attribute UserGenere {0,1}
@attribute UserAge {0,1,2}
@attribute UserExperience {0,1}
@attribute UserGlassesUse {0,1}
@attribute UserVisionProblems {0,1,2,3,4,5}
@attribute UserEyeDominance {0,1}
@attribute RegionOfInterest {0,1,2}
@attribute TimeStamp numeric
@attribute PlayerSpeed numeric
@attribute PlayerAcceleration numeric
@attribute CameraRotationX numeric
@attribute CameraRotationY numeric
@attribute CameraRotationZ numeric
@attribute PlayerPositionX numeric
@attribute PlayerPositionY numeric
@attribute PlayerPositionZ numeric
@attribute GameFps numeric
@attribute DiscomfortLevel {0,1}

@data
1,0,1,0,0,0,0,0.011019,0,0,-0.148897,0.049752,-0.046341,-59.98957,8.56395,-66.94204,0,0
1,0,1,0,0,0,1,1.005759,0,0,-0.109259,-0.08976,-0.04324,-60.03835,8.560572,-66.94463,90,0
1,0,1,0,0,0,1,2.00784,0,0,-0.112174,-0.130663,-0.049941,-60.03866,8.560583,-66.94463,90,0
1,0,1,0,0,0,1,3.007802,0,0,-0.1108,-0.148708,-0.037382,-60.03885,8.560567,-66.94463,90,0
1,0,1,0,0,0,1,4.007293,0,0,-0.11098,-0.162609,-0.032407,-60.03904,8.560556,-66.94463,90,0
1,0,1,0,0,0,1,5.008187,0,0,-0.111258,-0.175183,-0.030507,-60.03923,8.560542,-66.94463,90,0
1,0,1,0,0,0,1,6.008643,0,0,-0.11246,-0.185737,-0.029561,-60.03942,8.560529,-66.94463,90,0
1,0,1,0,0,0,1,7.009022,0,0,-0.111619,-0.194029,-0.028885,-60.03962,8.560513,-66.94463,90,0
1,0,1,0,0,0,1,8.008588,11,11,-0.112664,-0.205888,-0.028419,-60.11259,8.465539,-66.15076,90,0
1,0,1,0,0,0,1,9.008896,28,17,-0.126401,-0.196605,-0.041421,-59.64449,7.782237,-60.45132,90,0
1,0,1,0,0,0,0,10.00913,50,22,-0.149784,-0.177989,-0.028802,-59.46691,6.012506,-49.61108,88,0
1,0,1,0,0,0,0,11.01103,71,21,-0.108229,-0.032842,-0.050413,-60.14251,3.126337,-32.7522,90,0
1,0,1,0,0,0,0,12.01013,89,18,-0.05214,0.398548,-0.033747,-73.1859,0.87139,-15.39278,88,0
1,0,1,0,0,0,0,13.01072,99,10,-0.028758,0.949776,-0.039715,-95.42825,0.877172,-22.76347,88,0
1,0,1,0,0,0,1,14.01103,110,11,-0.045292,0.996124,-0.04219,-95.57819,1.911214,-51.14177,90,0
1,0,1,0,0,0,1,15.0121,120,10,-0.030929,0.978655,-0.050421,-95.93799,2.694762,-82.69555,90,0
