UserGenere,UserAge,UserExperience,TimeStamp,PlayerSpeed,PlayerAcceleration,CameraRotationZ,GameFps,DiscomfortLevel
1,0,1,0.011019,0,0,-0.046341,0,0
1,0,1,1.005759,0,0,-0.04324,90,0
1,0,1,2.00784,0,0,-0.049941,90,0
1,0,1,3.007802,0,0,-0.037382,90,0
1,0,1,4.007293,0,0,-0.032407,90,0
1,0,1,5.008187,0,0,-0.030507,90,0
1,0,1,6.008643,0,0,-0.029561,90,0
1,0,1,7.009022,0,0,-0.028885,90,0
1,0,1,8.008588,11,11,-0.028419,90,0
1,0,1,9.008896,28,17,-0.041421,90,0
1,0,1,10.00913,50,22,-0.028802,88,0
1,0,1,11.01103,71,21,-0.050413,90,0
1,0,1,12.01013,89,18,-0.033747,88,0
1,0,1,13.01072,99,10,-0.039715,88,0
1,0,1,14.01103,110,11,-0.04219,90,0
1,0,1,15.0121,120,10,-0.050421,90,0
1,0,1,16.00964,127,7,-0.019632,90,0
1,0,1,17.01035,135,8,-0.053165,90,0
1,0,1,18.01051,142,7,0.100402,90,0
1,0,1,19.0111,45,-97,0.094919,90,0
1,0,1,20.01075,68,23,-0.048425,88,0
1,0,1,21.00977,10,-58,-0.061989,90,0
1,0,1,22.0112,5,-5,-0.047212,90,0
1,0,1,23.01091,15,10,-0.053736,90,0
1,0,1,24.0096,29,14,-0.062798,90,0
1,0,1,25.01049,44,15,-0.064618,90,0
1,0,1,26.01068,60,16,-0.062201,90,0
1,0,1,27.01039,75,15,-0.053284,90,0
1,0,1,28.01047,85,10,-0.033596,88,0
1,0,1,29.01056,48,-37,-0.048734,88,0
1,0,1,30.01037,66,18,-0.039617,88,0
1,0,1,31.01037,83,17,-0.011478,90,0
1,0,1,32.01043,96,13,-0.016494,90,0
1,0,1,33.01025,107,11,-0.027454,90,0
1,0,1,34.01165,117,10,-0.040846,90,0
1,0,1,35.01178,126,9,-0.003786,90,0
1,0,1,36.01152,80,-46,-0.000222,90,0
1,0,1,37.01201,27,-53,-0.00734,90,0
1,0,1,38.01177,18,-9,-0.00233,90,0
1,0,1,39.01201,2,-16,0.019012,90,0
1,0,1,40.01328,13,11,0.015525,90,0
1,0,1,41.01098,9,-4,0.015843,90,0
1,0,1,42.01181,9,0,0.015661,90,0
1,0,1,43.011,1,-8,0.01248,90,0
1,0,1,44.01217,0,-1,0.001308,90,0
1,0,1,45.01147,1,1,0.009623,90,0
1,0,1,46.01141,2,1,0.008239,90,0
1,0,1,47.01147,3,1,0.007393,90,0
1,0,1,48.011,0,-3,0.00678,90,0
1,0,1,49.01306,15,15,0.004063,90,0
1,0,1,50.01255,7,-8,0.006704,90,0
1,0,1,51.0136,22,15,0.000628,90,0
1,0,1,52.01255,39,17,-0.014369,90,0
1,0,1,53.01245,56,17,0.000676,90,0
1,0,1,54.01316,74,18,0.026821,90,0
1,0,1,55.01288,91,17,0.01381,90,0
1,0,1,56.01094,105,14,-0.00015,90,0
1,0,1,57.01193,118,13,-0.029933,90,0
1,0,1,58.01228,87,-31,-0.011586,90,0
1,0,1,59.01311,39,-48,-0.043386,90,0
1,0,1,60.01287,54,15,-0.048809,90,0
1,0,1,61.01322,65,11,-0.058534,90,0
1,0,1,62.00483,80,15,-0.044924,90,0
1,0,1,63.00399,75,-5,-0.022562,90,0
1,0,1,64.01481,89,14,-0.033479,90,0
1,0,1,65.01499,102,13,-0.040991,90,0
1,0,1,66.00488,69,-33,-0.017819,90,0
1,0,1,67.01431,30,-39,-0.043476,90,0
1,0,1,68.01569,30,0,-0.041599,90,0
1,0,1,69.01431,46,16,-0.03518,90,0
1,0,1,70.00444,62,16,-0.006669,90,0
1,0,1,71.01484,76,14,-0.004763,90,0
1,0,1,72.01485,65,-11,-0.004303,90,0
1,0,1,73.01538,78,13,0.084628,90,0
1,0,1,74.01483,87,9,0.078873,90,0
1,0,1,75.01283,98,11,0.082007,90,0
1,0,1,76.01294,112,14,0.066133,90,0
1,0,1,77.0144,87,-25,0.054685,90,0
1,0,1,78.01477,35,-52,0.05044,90,0
1,0,1,79.01405,46,11,0.063825,90,0
1,0,1,80.01414,64,18,0.060034,90,0
1,0,1,81.01292,82,18,0.040662,90,0
1,0,1,82.01397,96,14,0.031308,90,0
1,0,1,83.01512,91,-5,0.037728,90,0
1,0,1,84.00425,103,12,0.042065,90,0
1,0,1,85.0048,115,12,0.037498,90,0
1,0,1,86.00455,125,10,0.008686,90,0
1,0,1,87.00511,134,9,-0.03045,90,0
1,0,1,88.01478,144,10,-0.004623,90,0
1,0,1,89.01393,145,1,0.028771,90,0
1,0,1,90.00504,145,0,0.060156,90,0
1,0,1,91.00574,40,-105,0.060061,90,0
1,0,1,92.01431,7,-33,0.060781,88,0
1,0,1,93.01505,11,4,0.043134,90,0
1,0,1,94.00507,26,15,-0.015521,90,0
1,0,1,95.00547,41,15,-0.05452,90,0
1,0,1,96.00397,57,16,-0.073408,90,0
1,0,1,97.00613,73,16,-0.073263,90,0
1,0,1,98.00716,88,15,-0.052233,90,0
1,0,1,99.00568,101,13,-0.020547,90,0
1,0,1,100.0066,113,12,-0.042183,90,0
1,0,1,101.0064,123,10,-0.028501,90,0
1,0,1,102.0046,130,7,-0.036855,90,0
1,0,1,103.0056,140,10,0.054759,90,0
1,0,1,104.0057,144,4,0.060473,90,0
1,0,1,105.0069,116,-28,0.084848,90,0
1,0,1,106.0045,80,-36,0.106093,90,0
1,0,1,107.0059,72,-8,0.085509,90,0
1,0,1,108.0047,26,-46,0.1242,90,0
1,0,1,109.0066,3,-23,0.095807,90,0
1,0,1,110.0056,4,1,0.085396,90,0
1,0,1,111.0052,4,0,0.092932,90,0
1,0,1,112.0055,4,0,0.089359,90,0
